Year,All Institutions,4-year,2-year
1968-69 ,10762,11401,7769
1969-70 ,10868,11665,7589
1970-71 ,10948,11820,7422
1971-72 ,11066,12007,7493
1972-73 ,11276,12483,7844
1973-74 ,10741,11837,7667
1974-75 ,10076,11110,7273
1975-76 ,9980,11174,6991
1976-77 ,10201,11554,7164
1977-78 ,10129,11449,7157
1978-79 ,9937,11207,7023
1979-80 ,9521,10735,6710
1980-81 ,9421,10631,6775
1981-82 ,9757,11048,6923
1982-83 ,10394,11813,7275
1983-84 ,10774,12273,7380
1984-85 ,11352,12839,7910
1985-86\5\ ,11813,13311,8142
1986-87 ,12316,14110,7796
1987-88 ,12481,14248,7412
1988-89 ,12743,14603,7758
1989-90 ,12864,14946,7678
1990-91 ,12894,14937,7723
1991-92 ,13475,15685,7791
1992-93 ,13760,16170,7768
1993-94 ,14274,16731,8007
1994-95 ,14531,17020,8106
1995-96 ,14989,17594,8048
1996-97 ,15245,17952,8106
1997-98 ,15599,18348,8447
1998-99 ,16114,19013,8462
1999-2000 ,16213,19196,8424
2000-01 ,16261,19422,8215
2001-02 ,16806,20142,8444
2002-03 ,17360,20865,9034
2003-04 ,18317,21926,9481
2004-05 ,18935,22664,9740
2005-06 ,19352,23078,9569
2006-07 ,19962,23813,9625
2007-08 ,20171,24070,9493
2008-09 ,20896,24961,10076
2009-10 ,21430,25650,10370
2010-11 ,21990,26274,10555
2011-12 ,22435,26609,10808
2012-13 ,23014,27152,10889
2013-14 ,23513,27664,11078
2014-15 ,24159,28251,11288
2015-16 ,24782,28861,11494
2016-17 ,25041,28838,11493
2017-18 ,25276,29013,11352
2018-19 ,25580,28121,11834
2019-20,25862,29436,11645
2020-21,25910,29033,11885
