Year,All Institutions,4-year,2-year
1963-64 ,15486,15441,11203
1968-69 ,17124,17383,13841
1969-70 ,17607,17825,13884
1970-71 ,18078,18247,13931
1971-72 ,18560,18664,13979
1972-73 ,18664,19003,13973
1973-74 ,17848,18184,13602
1974-75 ,17215,17296,13165
1975-76 ,17292,17408,12864
1976-77 ,17513,17831,13320
1977-78 ,17471,17815,13226
1978-79 ,17342,17708,13021
1979-80 ,16652,16991,12716
1980-81 ,16617,16992,13071
1981-82 ,17240,17700,13272
1982-83 ,18553,19106,14382
1983-84 ,19412,20061,14403
1984-85 ,20407,21025,15434
1985-86\5\ ,21485,22316,15748
1986-87 ,22891,23751,15102
1987-88 ,23878,24214,16078
1988-89 ,24296,24915,17299
1989-90 ,24907,25458,17969
1990-91 ,25368,26011,18279
1991-92 ,26451,27147,18340
1992-93 ,27019,27713,18285
1993-94 ,27888,28622,18729
1994-95 ,28355,29046,19544
1995-96 ,29310,29997,19695
1996-97 ,29872,30540,19796
1997-98 ,30126,31026,21023
1998-99 ,30975,31872,21301
1999-2000 ,31420,32234,21832
2000-01 ,32122,32848,22405
2001-02 ,33100,33812,23371
2002-03 ,33727,34373,25654
2003-04 ,34820,35451,27657
2004-05 ,35441,36049,27864
2005-06 ,35583,36145,28305
2006-07 ,36661,37279,26148
2007-08 ,37002,37571,26957
2008-09 ,37714,38288,27856
2009-10 ,38053,38667,29702
2010-11 ,37939,38704,27496
2011-12 ,38228,38943,27296
2012-13 ,39223,39892,26565
2013-14 ,40313,40990,26734
2014-15 ,41608,42237,27048
2015-16 ,43090,43661,26920
2016-17 ,44379,44967,26990
2017-18 ,45257,45743,27146
2018-19 ,46043,46414,29695
2019-20,46612,46982,27359
2020-21,45920,46313,25667
  Nonprofit,,,
    1999-2000 ,32626,33002,18168
    2000-01 ,32965,33320,17609
    2001-02 ,34084,34346,19154
    2002-03 ,35080,35325,20869
    2003-04 ,36321,36558,22016
    2004-05 ,37180,37415,21836
    2005-06 ,37715,37943,21594
    2006-07 ,38886,39086,22793
    2007-08 ,39679,39839,23440
    2008-09 ,41233,41387,24839
    2009-10 ,42398,42547,25201
    2010-11 ,43211,43344,23914
    2011-12 ,43601,43752,26511
    2012-13 ,44554,44701,25192
    2013-14 ,45511,45617,25760
    2014-15 ,46663,46768,26220
    2015-16 ,47574,47713,26892
    2016-17 ,48310,48474,27402
    2017-18 ,48794,48938,28136
    2018-19 ,49281,49408,28966
    2019-20,49939,50083,29077
    2020-21,49210,49344,27740
  For-profit,,,
    1999-2000 ,25064,25722,24457
    2000-01 ,26583,27384,25642
    2001-02 ,27433,29199,25041
    2002-03 ,28458,28957,28040
    2003-04 ,30858,30944,31634
    2004-05 ,31709,32144,30685
    2005-06 ,31153,30713,33947
    2006-07 ,30947,31855,27394
    2007-08 ,30760,31178,29241
    2008-09 ,29803,29958,30216
    2009-10 ,29284,29000,31535
    2010-11 ,27354,27227,30693
    2011-12 ,26564,26508,27158
    2012-13 ,26349,26262,27317
    2013-14 ,25912,25811,27266
    2014-15 ,25987,25880,28496
    2015-16 ,26260,26199,26849
    2016-17 ,27579,27688,27140
    2017-18 ,27843,28002,26583
    2018-19 ,28096,27611,31219
    2019-20 ,28196,28334,25546
    2020-21,27470,27723,23599
