Year,All Institutions,4-year,2-year
1963-64 ,7785,7923,5375
1968-69 ,8201,8433,6515
1969-70 ,8336,8624,6625
1970-71 ,8453,8783,6611
1971-72 ,8614,8984,6862
1972-73 ,8928,9549,7358
1973-74 ,8550,9008,7190
1974-75 ,7932,8366,6803
1975-76 ,7891,8444,6577
1976-77 ,8021,8676,6683
1977-78 ,7931,8562,6679
1978-79 ,7659,8239,6496
1979-80 ,7338,7889,6174
1980-81 ,7210,7747,6158
1981-82 ,7446,8028,6219
1982-83 ,7895,8569,6407
1983-84 ,8159,8876,6551
1984-85 ,8479,9160,6984
1985-86\5\ ,8636,9331,7209
1986-87 ,9002,9789,7071
1987-88 ,9200,10002,6964
1988-89 ,9281,10158,6911
1989-90 ,9334,10311,6837
1990-91 ,9347,10302,6814
1991-92 ,9784,10840,6898
1992-93 ,9931,11115,7014
1993-94 ,10248,11456,7191
1994-95 ,10436,11670,7238
1995-96 ,10655,11946,7182
1996-97 ,10813,12146,7293
1997-98 ,11085,12484,7337
1998-99 ,11366,12837,7364
1999-2000 ,11359,12861,7353
2000-01 ,11402,13005,7273
2001-02 ,11846,13581,7587
2002-03 ,12285,14143,8094
2003-04 ,13076,15094,8502
2004-05 ,13542,15685,8752
2005-06 ,13825,16012,8585
2006-07 ,14246,16499,8786
2007-08 ,14382,16693,8673
2008-09 ,14967,17423,9254
2009-10 ,15565,18256,9359
2010-11 ,16147,18948,9616
2011-12 ,16604,19412,9965
2012-13 ,17086,19876,10154
2013-14 ,17503,20271,10397
2014-15 ,17999,20716,10658
2015-16 ,18517,21209,10949
2016-17 ,18694,21134,10942
2017-18 ,18872,21263,10903
2018-19 ,19098,21401,11378
2019-20,19270,21520,11314
2020-21,19374,21337,11557
