year,All insti-tutions,4-year,2-year,All insti-tutions,4-year,2-year,All insti-tutions,4-year,2-year,All insti-tutions,4-year,2-year,All insti-tutions,4-year,2-year,All insti-tutions,4-year,2-year,All insti-tutions,4-year,2-year,All insti-tutions,4-year,2-year
1963-64 ,"$10,648 ","$10,973 ","$6,616 ","$4,336 ","$4,715 ","$1,461 ","$2,409 ","$2,377 ","$1,784 ","$3,902 ","$3,882 ","$3,371 ","$1,248 ","$1,286 ",$775 ,$508 ,$553 ,$171 ,$282 ,$279 ,$209 ,$457 ,$455 ,$395 
1968-69 ,"10,762","11,401","7,769","4,400","5,041","1,847","2,658","2,657","2,412","3,704","3,703","3,509","1,459","1,545","1,053",596,683,250,360,360,327,502,502,476
1969-70 ,"10,868","11,665","7,589","4,494","5,260","1,724","2,711","2,730","2,417","3,662","3,675","3,448","1,560","1,674","1,089",645,755,247,389,392,347,526,528,495
1970-71 ,"10,948","11,820","7,422","4,558","5,391","1,652","2,774","2,795","2,447","3,616","3,634","3,322","1,653","1,784","1,120",688,814,249,419,422,369,546,549,501
1971-72 ,"11,066","12,007","7,493","4,629","5,534","1,604","2,845","2,868","2,500","3,592","3,606","3,389","1,730","1,878","1,172",724,865,251,445,448,391,562,564,530
1972-73 ,"11,276","12,483","7,844","4,669","5,842","1,763","2,998","3,027","2,550","3,609","3,614","3,530","1,834","2,031","1,276",759,950,287,488,492,415,587,588,574
1973-74 ,"10,741","11,837","7,667","4,491","5,557","1,854","2,796","2,821","2,425","3,454","3,459","3,388","1,903","2,097","1,358",796,985,328,495,500,430,612,613,600
1974-75 ,"10,076","11,110","7,273","4,112","5,122","1,665","2,683","2,707","2,338","3,281","3,281","3,271","1,983","2,187","1,432",809,"1,008",328,528,533,460,646,646,644
1975-76 ,"9,980","11,174","6,991","3,934","5,092","1,410","2,699","2,734","2,249","3,347","3,348","3,332","2,103","2,355","1,473",829,"1,073",297,569,576,474,705,706,702
1976-77 ,"10,201","11,554","7,164","4,143","5,463","1,549","2,705","2,739","2,254","3,353","3,352","3,361","2,275","2,577","1,598",924,"1,218",346,603,611,503,748,748,750
1977-78 ,"10,129","11,449","7,157","4,136","5,426","1,589","2,711","2,747","2,205","3,281","3,276","3,363","2,411","2,725","1,703",984,"1,291",378,645,654,525,781,780,801
